Key,Value
 013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) BitsPerPixel,12
 013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) DimensionOrder,XYCZT
 013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) IsInterleaved,false
 013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) IsRGB,false
 013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) LittleEndian,true
 013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) PixelType,uint16
 013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) SizeC,2
 013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) SizeT,97
 013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) SizeX,1192
 013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) SizeY,1628
 013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 1) SizeZ,19
 013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 2) BitsPerPixel,12
 013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 2) DimensionOrder,XYCZT
 013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 2) IsInterleaved,false
 013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 2) IsRGB,false
 013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 2) LittleEndian,true
 013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 2) PixelType,uint16
 013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 2) SizeC,2
 013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 2) SizeT,97
 013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 2) SizeX,1192
 013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 2) SizeY,1628
 013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 2) SizeZ,19
 013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 3) BitsPerPixel,12
 013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 3) DimensionOrder,XYCZT
 013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 3) IsInterleaved,false
 013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 3) IsRGB,false
 013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 3) LittleEndian,true
 013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 3) PixelType,uint16
 013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 3) SizeC,2
 013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 3) SizeT,97
 013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 3) SizeX,1192
 013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 3) SizeY,1628
 013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 3) SizeZ,19
 013020_Lgalsbpb_GFPpos_NoTreatment.nd2 (series 4) BitsPerPixel,12
